JobID,PropertyID,PropertyNickname,TypeID,ContractorName,ScheduledDate,Status,SessionNumber,IsCustomJob,Rescheduled,Reassigned,TypeOverridden,Cancelled,OriginalScheduledDate,OriginalContractor,OriginalType,OnMyWayAt,StartedAt,FinishedAt,FinishedLat,FinishedLng,PhotoCount,PhotoUrls,CrewNotes,OfficeNotes,UpdatedBy,LastUpdate
J-0001,P-001,MIMI,LUX,Pristine Properties,2026-05-09T12:00:00Z,Done,1.0,,,,,,,,,,,,,,0,,,,,
J-0002,P-001,MIMI,LUX,Pristine Properties,2026-05-16T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0003,P-001,MIMI,LUX,Pristine Properties,2026-05-23T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0004,P-001,MIMI,LUX,Pristine Properties,2026-05-30T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0005,P-001,MIMI,LUX,Pristine Properties,2026-06-06T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0006,P-001,MIMI,LUX,Pristine Properties,2026-06-13T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0007,P-001,MIMI,LUX,Pristine Properties,2026-06-20T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0008,P-001,MIMI,LUX,Pristine Properties,2026-06-27T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0009,P-001,MIMI,LUX,Pristine Properties,2026-07-08T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0011,P-001,MIMI,LUX,Pristine Properties,2026-07-30T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0012,P-001,MIMI,LUX,Pristine Properties,2026-08-10T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0013,P-001,MIMI,LUX,Pristine Properties,2026-08-21T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0014,P-001,MIMI,LUX,Pristine Properties,2026-09-01T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0015,P-001,MIMI,LUX,Pristine Properties,2026-09-13T12:00:00Z,Pending,3.0,,,,,,,,,,,,,,0,,,,,
J-0016,P-001,MIMI,LUX,Pristine Properties,2026-09-25T12:00:00Z,Pending,4.0,,,,,,,,,,,,,,0,,,,,
J-0017,P-001,MIMI,LUX,Pristine Properties,2026-10-09T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0018,P-001,MIMI,LUX,Pristine Properties,2026-10-23T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0019,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-05-08T12:00:00Z,Done,1.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0019_IMG_0252.jpeg,,,,
J-0020,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-05-22T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0021,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-06-05T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0022,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-06-19T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0023,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-07-03T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0024,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-07-17T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0025,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-07-31T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0026,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-08-14T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0027,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-08-28T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0028,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-09-14T12:00:00Z,Pending,2.0,,,,,,,,,,,,,,0,,,,,
J-0029,P-002,RACEWAY,RNT,The Farm Crew Landscaping,2026-10-01T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0030,P-003,PRESTON,VAC1,Tony Bolt,2026-05-06T12:00:00Z,Done,1.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0030_IMG_2688.jpeg,,,,
J-0031,P-003,PRESTON,VAC1,Tony Bolt,2026-05-27T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0031_IMG_2695.jpeg,,,,
J-0032,P-003,PRESTON,VAC1,Tony Bolt,2026-06-17T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0033,P-003,PRESTON,VAC1,Tony Bolt,2026-07-08T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0034,P-003,PRESTON,VAC1,Tony Bolt,2026-07-29T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0035,P-003,PRESTON,VAC1,Tony Bolt,2026-08-19T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0036,P-003,PRESTON,VAC1,Tony Bolt,2026-09-09T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0037,P-003,PRESTON,VAC1,Tony Bolt,2026-09-30T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0038,P-003,PRESTON,VAC1,Tony Bolt,2026-10-21T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0043,P-004,ERIC,VAC1,Tony Bolt,2026-05-06T12:00:00Z,Done,1.0,,,,,,,,,,,,,,1,https://raw.githubusercontent.com/emw-oldwell/oldwell-mowing-dashboard/main/photos/J-0043_IMG_2693.jpeg,,,,
J-0044,P-004,ERIC,VAC1,Tony Bolt,2026-05-27T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0045,P-004,ERIC,VAC1,Tony Bolt,2026-06-17T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0046,P-004,ERIC,VAC1,Tony Bolt,2026-07-08T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0047,P-004,ERIC,VAC1,Tony Bolt,2026-07-29T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0048,P-004,ERIC,VAC1,Tony Bolt,2026-08-19T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0049,P-004,ERIC,VAC1,Tony Bolt,2026-09-09T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
J-0050,P-004,ERIC,VAC1,Tony Bolt,2026-09-30T12:00:00Z,Pending,1.0,,,,,,,,,,,,,,0,,,,,
